,report_month,portal_id,product,calendar_days_remaining,day of month,mrr_net_pm_bom,cancel_classified,geography,segment,sub_segment,partner_managed,employee_size,employee_size_value,marketing_health_check,sales_health_check,count_calls_by_owner_l90,count_emails_by_owner_l90_measure,count_of_integrations,renewal_month,subscription_cancel,cancel_dollars,primary_colors,age,edition
24961,2022-03,3057009,CMSHub,31,1,186.0,prior_cancel,NAM,NAM CST,CST,Yes,26 to 200,200.0,4,0,0.0,3.0,15.0,1.0,1.0,-186.0,1.0,60.0,Professional
24962,2022-03,3057009,MarketingHub,31,1,1085.0,prior_cancel,NAM,NAM CST,CST,Yes,26 to 200,200.0,4,0,0.0,3.0,15.0,1.0,1.0,-1085.0,4.0,60.0,Professional
24963,2022-03,3326814,CMSHub,31,1,204.76,prior_cancel,APAC,JAPAC CST,APAC CST,No,1 to 25,10.0,4,1,0.0,0.0,7.0,1.0,1.0,-204.76,0.0,24.0,Professional
24964,2022-03,3326814,MarketingHub,31,1,654.76,prior_cancel,APAC,JAPAC CST,APAC CST,No,1 to 25,10.0,4,1,0.0,0.0,7.0,1.0,1.0,-654.76,0.0,42.0,Professional
24965,2022-03,3326814,SalesHub,31,1,342.86,prior_cancel,APAC,JAPAC CST,APAC CST,No,1 to 25,10.0,4,1,0.0,0.0,7.0,1.0,1.0,-342.86,2.0,42.0,Professional
24966,2022-03,4009182,CMSHub,31,1,270.0,prior_cancel,NAM,NAM CST,CST,No,26 to 200,200.0,4,0,0.0,0.0,15.0,1.0,0.0,0.0,1.0,35.0,Professional
24967,2022-03,4009182,MarketingHub,31,1,1124.72,prior_cancel,NAM,NAM CST,CST,No,26 to 200,200.0,4,0,0.0,0.0,15.0,1.0,0.0,0.0,2.0,52.0,Professional
24968,2022-03,4009431,CMSHub,18,14,269.28,early_cancel,EMEA,EMEA CST,EMEA CST,No,1 to 25,10.0,0,0,1.0,1.0,3.0,1.0,1.0,-269.28,0.0,2.0,Professional
24969,2022-03,4015500,CMSHub,31,1,180.0,prior_cancel,NAM,SMB,POLMONARI,Yes,1 to 25,10.0,4,3,2.0,13.0,31.0,1.0,0.0,0.0,1.0,39.0,Professional
24970,2022-03,4015500,MarketingHub,31,1,2442.0,prior_cancel,NAM,SMB,POLMONARI,Yes,1 to 25,10.0,4,3,2.0,13.0,31.0,1.0,0.0,0.0,4.0,39.0,Enterprise
